书名,详情链接,作者,出版年份,出版社,评论数,原价(元),折后价(元),折扣率
 Python与机器学习实战：决策树、集成学习、支持向量机与神经网络算法详解及编程实现【正版】,https://product.dangdang.com/11941576612.html,何宇健,2017,电子工业出版社,0,100.36,10.18,0.1
 Python金融实战,https://product.dangdang.com/12457890591.html,Yuxing,2017,人民邮电出版社,0,29.7,9.9,0.33
 Python数据可视化编程实战 第2版,https://product.dangdang.com/11994374842.html,伊戈尔·米洛瓦诺维奇,2018,人民邮电出版社,0,100.0,10.0,0.1
 Python Linux系统管理与自动化运维【正版】,https://product.dangdang.com/11959978723.html,赖明星,2017,机械工业出版社,0,100.4,10.2,0.1
 Python数据分析与数据化运营,https://product.dangdang.com/11992825212.html,宋天龙,2017,机械工业出版社,0,100.0,10.0,0.1
 Python 3.5从零开始学,https://product.dangdang.com/11993374212.html,刘宇宙,2017,清华大学出版社,1,92.02,9.9,0.11
 Python网络编程攻略,https://product.dangdang.com/11994256002.html,萨卡尔,2014,人民邮电出版社,0,100.32,10.16,0.1
 Python 网络编程攻略 Dr. M. O. Faruque Sarker 人民邮电出版社【达额立减】,https://product.dangdang.com/11740026040.html,Faruque,2014,人民邮电出版社,1,55.74,8.0,0.14
 Python自动化运维:技术与佳实践,https://product.dangdang.com/12332163304.html,刘天斯,2014,机械工业出版社,0,100.4,10.2,0.1
 Python网络爬虫实战 清华科技大讲堂【正版】,https://product.dangdang.com/12302705235.html,吕云翔,2019,清华大学出版社,0,96.26,8.13,0.08
 Python核心编程,https://product.dangdang.com/11989814182.html,丘恩,2008,人民邮电出版社,0,100.0,10.0,0.1
 Python核心编程【正版】,https://product.dangdang.com/12302354055.html,丘恩,2008,人民邮电出版社,0,96.0,8.0,0.08
" Python机器学习经典实例 普拉提克·乔西 著,陶俊杰,陈小莉 译 人民邮电出版社 普拉提克·乔西 著,陶 人民邮电出",https://product.dangdang.com/11740057850.html,普拉提克·乔西,2017,人民邮电出版社,2,40.0,8.57,0.21
" 图灵程序设计丛书 Python开发实战[日]BePROUD股份有限公司,盛荣人民邮电出版社（正版旧书）978711532",https://product.dangdang.com/11047684780.html,BePROUD股份有限公司,2014,人民邮电出版社,1,320.36,10.4,0.03
 Python实现教程——新工科过程计算与优化方利国、方曦 编著其他化学工业出版社新华书店正版,https://product.dangdang.com/12339795287.html,方利国,2019,化学工业出版社,0,88.0,61.84,0.7
 Python从入门到项目实践赠电子版魔卡、必刷题、知识挂图、背记手册,https://product.dangdang.com/11991508730.html,明日科技,2018,吉林大学出版社,0,96.88,8.44,0.09
 Python从入门到项目实践赠电子版魔卡、必刷题、知识挂图、背记手册【正版图书】,https://product.dangdang.com/11982952550.html,明日科技,2018,吉林大学出版社,0,96.88,8.44,0.09
 Python网络爬虫实例教程:视频讲解版,https://product.dangdang.com/12395748036.html,齐文光,2018,人民邮电出版社,0,30.69,10.23,0.33
 Python机器学习经典实例,https://product.dangdang.com/12334827190.html,普拉提克·乔西,2017,人民邮电出版社,0,97.02,8.51,0.09
 Python文本分析 闫龙川高德荃李君婷 译 机械工业出版社【达额立减】,https://product.dangdang.com/11740124700.html,闫龙川高德荃李君婷,2018,机械工业出版社,0,97.0,8.36,0.09
 PYTHON程序设计实战教程：零基础到精通【正版】,https://product.dangdang.com/11960159993.html,王其,2019,江苏大学出版社,0,100.8,10.4,0.1
 Python机器学习经典实例【正版图书，满额减，电子发票】,https://product.dangdang.com/11945401066.html,普拉提克·乔西,2017,人民邮电出版社,0,97.3,8.65,0.09
 Python从入门到项目实践赠电子版魔卡、必刷题、知识挂图、背记手册【正版图书，满额减，电子发票】,https://product.dangdang.com/11993463656.html,明日科技,2018,吉林大学出版社,0,97.5,8.75,0.09
 Python绝技:运用Python成为数据工程师 黄文青著 电子工业出版社【售后无忧】,https://product.dangdang.com/11740378960.html,黄文青,2018,电子工业出版社,0,222.18,9.0,0.04
 Python程序员面试算法宝典,https://product.dangdang.com/12395746736.html,张波,2018,机械工业出版社,0,32.55,10.85,0.33
 Python项目开发实战【正版】,https://product.dangdang.com/11945085686.html,Laura,2015,清华大学出版社,0,97.5,8.75,0.09
 Python编程案例教程,https://product.dangdang.com/12454946937.html,高登,2023,航空工业出版社,0,97.48,8.74,0.09
 Python树莓派开发从入门到精通,https://product.dangdang.com/11123088627.html,,,清华大学出版社,1,89.8,63.96,0.71
 Python从小白到大牛,https://product.dangdang.com/12490630051.html,关东升,2018,清华大学出版社,0,32.13,10.71,0.33
 Python接口自动化测试,https://product.dangdang.com/12460998051.html,王浩然,2019,电子工业出版社,0,32.52,10.84,0.33
 Python新手使用Django架站的16堂课,https://product.dangdang.com/12490627321.html,何敏煌,2017,清华大学出版社,0,32.37,10.79,0.33
 Python数据可视化之Matplotlib与Pyecharts实战王国平其他清华大学出版社有限公司新华书店正版,https://product.dangdang.com/12392727257.html,王国平,2019,清华大学出版社有限公司,0,89.0,63.41,0.71
 Python+Spark 2 0+Hadoop机器学习与大数据实战【正版】,https://product.dangdang.com/12303652335.html,林大贵,2017,清华大学出版社,0,97.76,8.88,0.09
 Python编程:从入门到实战,https://product.dangdang.com/12307660397.html,,2022,黑龙江科学技术出版社,0,68.0,18.8,0.28
" PYTHON技术手册 （美）马特利（Martelli,A.） 著 东南大学出版社 9787564105761",https://product.dangdang.com/12347933560.html,马特利,2006,东南大学出版社,0,98.86,9.43,0.1
 Python 代码编程 学科项目式编程 六年纪 电子工业出版社 9787121419843,https://product.dangdang.com/11572507292.html,不详,2010,电子工业出版社,0,32.0,19.36,0.6
 Python数据可视化编程实战 第2版【正版】,https://product.dangdang.com/12303090345.html,伊戈尔·米洛瓦诺维奇,2018,人民邮电出版社,0,98.96,9.48,0.1
 Python3爬虫实战—数据清洗、数据分析与可视化,https://product.dangdang.com/12346434320.html,姚良,2019,中国铁道出版社,0,98.68,9.34,0.09
 Python高手之路 第3版,https://product.dangdang.com/12332731184.html,朱利安·丹乔,2016,人民邮电出版社,0,102.28,11.14,0.11
 Python编程轻松入门,https://product.dangdang.com/11019643177.html,,2021,人民邮电出版社,0,89.8,64.86,0.72
 Python商业数据分析：零售和电子商务案例详解（双色）,https://product.dangdang.com/11108163555.html,,,电子工业出版社,0,79.0,59.25,0.75
 Python数据分析与数据化运营【正版图书，满额减，电子发票】,https://product.dangdang.com/11944945576.html,宋天龙,2017,机械工业出版社,0,100.0,10.0,0.1
 Python程序设计,https://product.dangdang.com/12347353820.html,黄建军,2023,清华大学出版社,0,99.78,9.89,0.1
" Python 3 程序设计 刘德山,杨洪伟,崔晓松 著 人民邮电出版社 9787115570734",https://product.dangdang.com/12387463946.html,刘德山,2022,人民邮电出版社,0,99.62,9.81,0.1
 Python数据可视化之matplotlib精进,https://product.dangdang.com/12395747786.html,刘大成,2019,电子工业出版社,0,36.0,12.0,0.33
 python编程 从入门到精通 学习手册跟我一起玩python编程从入门到精通快速上手基础及应用当当自营同款程自学教程高,https://product.dangdang.com/12301464887.html,,2020,中国青年出版社,1,69.8,19.8,0.28
 Python绝技：运用Python成为顶级数据工程师【正版图书，满额减，电子发票】,https://product.dangdang.com/11943160046.html,黄文青,2018,电子工业出版社,0,99.38,9.69,0.1
 Python程序设计基础,https://product.dangdang.com/12395746256.html,赵广辉,2021,高等教育出版社,0,25.95,12.0,0.46
" Python网络爬虫 肖睿,陈磊 编 人民邮电出版社 9787115527295",https://product.dangdang.com/12387873156.html,肖睿,2020,人民邮电出版社,0,100.0,10.0,0.1
 Python机器学习基础教程[德]安德里亚斯 穆勒[美]莎拉 吉多其他人民邮电出版社新华书店正版,https://product.dangdang.com/12446234487.html,,2019,人民邮电出版社,0,79.0,59.25,0.75
 Python学习手册(第4版) 鲁特兹 (Mark Lutz) 李军 刘红伟 等 机械工业出版社【放心购买】,https://product.dangdang.com/655770226.html,鲁特兹,2011,机械工业出版社,2,119.0,11.67,0.1
 Python网络爬虫从入门到实践【售后无忧】,https://product.dangdang.com/11364044858.html,唐松,2017,机械工业出版社,2,32.44,12.22,0.38
" Python编程基础与应用 韦鹏程,许桂秋 编 浙江科学技术出版社 9787534188961",https://product.dangdang.com/12388564836.html,韦鹏程,2020,浙江科学技术出版社,0,100.16,10.08,0.1
 Python数据分析从入门到精通【正版】,https://product.dangdang.com/11962121620.html,张啸宇,2018,电子工业出版社,0,100.72,10.36,0.1
 Python编程基础与应用,https://product.dangdang.com/12457796677.html,韦鹏程,2020,浙江科学技术出版社,0,100.16,10.08,0.1
" Python项目开发案例集锦 明日科技(MingRiSoft)著,明日科技 编 吉林大学出版社【可开电子发票】",https://product.dangdang.com/11737476570.html,明日科技,2019,吉林大学出版社,1,220.26,10.29,0.05
 Python接口自动化测试【正版图书，满额减，电子发票】,https://product.dangdang.com/11942752076.html,王浩然,2019,电子工业出版社,0,100.16,10.08,0.1
 Python自动化运维:技术与佳实践【正版】,https://product.dangdang.com/12302601775.html,刘天斯,2014,机械工业出版社,0,100.4,10.2,0.1
 Python程序设计与实战,https://product.dangdang.com/12457947207.html,常鹏飞,2020,北京理工大学出版社,0,100.16,10.08,0.1
 Python编程自学手册史向东 ... [等] 编著其他电子工业出版社新华书店正版,https://product.dangdang.com/12424627417.html,史向东,2019,电子工业出版社,0,89.0,66.75,0.75
 Python数据分析实战【正版】,https://product.dangdang.com/12302158025.html,内利,2016,人民邮电出版社,0,100.2,10.1,0.1
 Python学习从入门到实践,https://product.dangdang.com/11845551624.html,,2017,清华大学出版社,0,95.0,12.8,0.13
 Python从菜鸟到高手 李宁 著 清华大学出版社【正版书籍】,https://product.dangdang.com/11737613970.html,李宁,2018,清华大学出版社,1,223.28,10.91,0.05
 Python带我起飞 入门、进阶、商业实战【正版图书，满额减，电子发票】,https://product.dangdang.com/11942672586.html,李金洪,2018,电子工业出版社,0,101.96,10.98,0.11
 Python程序设计实践教程ry,https://product.dangdang.com/11122537586.html,储岳中,2020,人民邮电出版社,1,29.8,20.86,0.7
